name,cpu_milli,memory_mib,num_gpu,gpu_milli,gpu_spec,qos,pod_phase,creation_time,deletion_time,scheduled_time,source_file
openb-pod-0000,12000,16384,1,1000,,LS,Running,0,12537496,0.0,openb_pod_list_cpu0.csv
openb-pod-0001,6000,12288,1,460,,LS,Running,427061,12902960,427061.0,openb_pod_list_cpu0.csv
openb-pod-0002,12000,24576,1,1000,,LS,Running,1558381,12902960,1558381.0,openb_pod_list_cpu0.csv
openb-pod-0003,6000,12288,1,460,,LS,Running,2690044,12902960,2690044.0,openb_pod_list_cpu0.csv
openb-pod-0004,12000,16384,1,1000,,LS,Running,2758084,12902960,2758084.0,openb_pod_list_cpu0.csv
openb-pod-0005,4000,16384,1,1000,,LS,Running,3019330,11815163,3019331.0,openb_pod_list_cpu0.csv
openb-pod-0006,12000,16384,1,1000,,LS,Running,3019932,12902960,3019932.0,openb_pod_list_cpu0.csv
openb-pod-0007,12000,16384,1,1000,,LS,Running,4130198,12902960,4130198.0,openb_pod_list_cpu0.csv
openb-pod-0008,12000,16384,1,1000,,LS,Running,4975773,12902960,4975773.0,openb_pod_list_cpu0.csv
openb-pod-0009,16000,49152,1,1000,,LS,Running,5182092,10004145,5182096.0,openb_pod_list_cpu0.csv
openb-pod-0010,6000,8192,1,460,,LS,Running,6394537,12902960,6394537.0,openb_pod_list_cpu0.csv
openb-pod-0011,8000,32768,1,1000,,LS,Running,6588193,10959245,6595531.0,openb_pod_list_cpu0.csv
openb-pod-0012,8000,16384,1,1000,,LS,Running,6976821,10650110,6976823.0,openb_pod_list_cpu0.csv
openb-pod-0013,16000,65536,1,1000,,LS,Running,8387257,11410890,8387291.0,openb_pod_list_cpu0.csv
openb-pod-0014,16000,49152,1,1000,,LS,Running,8396307,12902960,8396310.0,openb_pod_list_cpu0.csv
openb-pod-0015,88000,327680,8,1000,,Burstable,Succeeded,9437497,10769854,9437497.0,openb_pod_list_cpu0.csv
openb-pod-0016,6000,6144,1,460,,LS,Running,9476974,12902960,9476974.0,openb_pod_list_cpu0.csv
openb-pod-0017,8000,30517,1,470,,LS,Running,9664050,12902960,9664050.0,openb_pod_list_cpu0.csv
openb-pod-0018,8000,30517,1,470,,LS,Running,9664123,12902960,9664124.0,openb_pod_list_cpu0.csv
openb-pod-0019,8000,30517,1,440,,LS,Running,9671707,12902960,9671708.0,openb_pod_list_cpu0.csv
openb-pod-0020,4000,15258,1,220,,BE,Running,9679175,9973826,9679175.0,openb_pod_list_cpu0.csv
openb-pod-0021,12000,24576,1,1000,,LS,Running,9766837,12902960,9766837.0,openb_pod_list_cpu0.csv
openb-pod-0022,16000,49152,1,1000,,LS,Running,9818766,12902960,9818768.0,openb_pod_list_cpu0.csv
openb-pod-0023,4000,15258,1,110,,LS,Running,9823530,10197645,9823530.0,openb_pod_list_cpu0.csv
openb-pod-0024,16000,32768,1,1000,,LS,Running,9924220,9964972,9924222.0,openb_pod_list_cpu0.csv
openb-pod-0025,1000,2048,1,320,,BE,Running,9941376,9972429,9941376.0,openb_pod_list_cpu0.csv
openb-pod-0026,16000,32768,1,1000,,LS,Running,9949982,9978759,9949984.0,openb_pod_list_cpu0.csv
openb-pod-0027,4000,15258,1,220,,BE,Running,9955274,10027972,9955274.0,openb_pod_list_cpu0.csv
openb-pod-0028,16000,32768,1,1000,,LS,Running,9957349,9967333,9957351.0,openb_pod_list_cpu0.csv
openb-pod-0029,16000,32768,1,1000,,LS,Running,9961302,9994357,9961304.0,openb_pod_list_cpu0.csv
openb-pod-0030,6000,12288,1,460,,LS,Running,9963454,9978153,9963454.0,openb_pod_list_cpu0.csv
openb-pod-0031,3152,5600,1,1000,,BE,Failed,9965463,9965645,9965463.0,openb_pod_list_cpu0.csv
openb-pod-0032,16000,32768,1,1000,,LS,Running,9965619,9966774,9965621.0,openb_pod_list_cpu0.csv
openb-pod-0033,16000,32768,1,1000,,LS,Running,9967058,9968575,9967063.0,openb_pod_list_cpu0.csv
openb-pod-0034,3152,5600,1,1000,,BE,Failed,9967204,9967404,9967204.0,openb_pod_list_cpu0.csv
openb-pod-0035,16000,32768,1,1000,,LS,Running,9970479,9971583,9970481.0,openb_pod_list_cpu0.csv
openb-pod-0036,4000,22888,1,480,,BE,Running,9973579,9973962,9973579.0,openb_pod_list_cpu0.csv
openb-pod-0037,4000,15258,1,50,,BE,Running,9973948,9981248,9973949.0,openb_pod_list_cpu0.csv
openb-pod-0038,8000,30517,1,230,,BE,Running,9974338,9981274,9974338.0,openb_pod_list_cpu0.csv
openb-pod-0039,3152,5600,1,1000,,BE,Failed,9976185,9976497,9976185.0,openb_pod_list_cpu0.csv
openb-pod-0040,3152,5600,1,1000,,BE,Failed,9977555,9977866,9977555.0,openb_pod_list_cpu0.csv
openb-pod-0041,6000,18432,1,460,,LS,Running,9980855,10002453,9980855.0,openb_pod_list_cpu0.csv
openb-pod-0042,3152,5600,1,1000,,BE,Failed,9983856,9984198,9983857.0,openb_pod_list_cpu0.csv
openb-pod-0043,3152,5600,1,1000,,BE,Failed,9985207,9985592,9985207.0,openb_pod_list_cpu0.csv
openb-pod-0044,3152,5600,1,1000,,BE,Failed,9989432,9989793,9989432.0,openb_pod_list_cpu0.csv
openb-pod-0045,3152,5600,1,1000,,BE,Failed,9989615,9989817,9989615.0,openb_pod_list_cpu0.csv
openb-pod-0046,4000,15258,1,320,,BE,Running,9993395,9997068,9993395.0,openb_pod_list_cpu0.csv
openb-pod-0047,4000,15258,1,320,,BE,Running,9993396,9997067,9993396.0,openb_pod_list_cpu0.csv
openb-pod-0048,12000,16384,1,1000,,LS,Running,9993753,10061253,9993753.0,openb_pod_list_cpu0.csv
openb-pod-0049,4000,24576,1,1000,,LS,Succeeded,9997763,10001500,9997763.0,openb_pod_list_cpu0.csv
openb-pod-0050,3152,5600,1,1000,,BE,Failed,9999611,9999877,9999611.0,openb_pod_list_cpu0.csv
openb-pod-0051,12000,49152,1,1000,,LS,Succeeded,9999740,9999855,9999740.0,openb_pod_list_cpu0.csv
openb-pod-0052,3152,5600,1,1000,,BE,Failed,9999867,10000083,9999867.0,openb_pod_list_cpu0.csv
openb-pod-0053,8000,16384,1,1000,,LS,Running,10000483,10002335,10000483.0,openb_pod_list_cpu0.csv
openb-pod-0054,11908,47104,1,470,,LS,Running,10000836,10002563,10000838.0,openb_pod_list_cpu0.csv
openb-pod-0055,11908,47104,1,1000,,BE,Pending,10001278,10001403,,openb_pod_list_cpu0.csv
openb-pod-0056,3152,5600,1,810,,BE,Failed,10001573,10014257,10001606.0,openb_pod_list_cpu0.csv
openb-pod-0057,12000,24576,1,1000,,LS,Running,10001854,10043044,10002793.0,openb_pod_list_cpu0.csv
openb-pod-0058,16000,32768,1,1000,,LS,Running,10002519,10003360,10002522.0,openb_pod_list_cpu0.csv
openb-pod-0059,12000,16384,1,1000,,LS,Running,10002813,10004193,10003093.0,openb_pod_list_cpu0.csv
openb-pod-0060,12000,24576,1,1000,,LS,Failed,10003114,10006715,10004543.0,openb_pod_list_cpu0.csv
openb-pod-0061,4152,10600,1,810,,BE,Failed,10004799,10006010,10004799.0,openb_pod_list_cpu0.csv
openb-pod-0062,3152,5600,1,1000,,BE,Failed,10005625,10005773,10005625.0,openb_pod_list_cpu0.csv
openb-pod-0063,3152,5600,1,1000,,BE,Failed,10008375,10008605,10008375.0,openb_pod_list_cpu0.csv
openb-pod-0064,3152,5600,1,1000,,BE,Failed,10009087,10009227,10009087.0,openb_pod_list_cpu0.csv
openb-pod-0065,18708,64512,1,1000,,LS,Running,10009222,10009356,10009256.0,openb_pod_list_cpu0.csv
openb-pod-0066,18708,64512,1,1000,,LS,Running,10011081,10011118,10011083.0,openb_pod_list_cpu0.csv
openb-pod-0067,3152,5600,1,1000,,BE,Failed,10011177,10011318,10011177.0,openb_pod_list_cpu0.csv
openb-pod-0068,16000,65536,1,1000,,LS,Running,10011398,10019079,10011400.0,openb_pod_list_cpu0.csv
openb-pod-0069,8000,16384,1,1000,,LS,Running,10011759,10012978,10011761.0,openb_pod_list_cpu0.csv
openb-pod-0070,16000,65536,1,1000,,LS,Running,10013436,10014656,10013712.0,openb_pod_list_cpu0.csv
openb-pod-0071,3152,5600,1,1000,,BE,Failed,10013677,10013860,10013677.0,openb_pod_list_cpu0.csv
openb-pod-0072,16000,32768,1,1000,,LS,Running,10013797,10015126,10014212.0,openb_pod_list_cpu0.csv
openb-pod-0073,8000,30517,1,320,,BE,Running,10014736,10015168,10014736.0,openb_pod_list_cpu0.csv
openb-pod-0074,6000,6144,1,460,,LS,Running,10014814,10015743,10014814.0,openb_pod_list_cpu0.csv
openb-pod-0075,4000,15258,1,320,,BE,Running,10014946,10015737,10014947.0,openb_pod_list_cpu0.csv
openb-pod-0076,8000,30517,1,650,,BE,Running,10015701,10015911,10015701.0,openb_pod_list_cpu0.csv
openb-pod-0077,4152,10600,1,550,,BE,Running,10015833,10015943,10015833.0,openb_pod_list_cpu0.csv
openb-pod-0078,11908,47104,1,1000,,BE,Pending,10015849,10015908,,openb_pod_list_cpu0.csv
openb-pod-0079,4152,10600,1,550,,BE,Failed,10016935,10016962,10016935.0,openb_pod_list_cpu0.csv
openb-pod-0080,3152,5600,1,1000,,BE,Failed,10017162,10017394,10017162.0,openb_pod_list_cpu0.csv
openb-pod-0081,11908,47104,1,1000,,BE,Running,10017643,10019780,10017677.0,openb_pod_list_cpu0.csv
openb-pod-0082,4152,10600,1,270,,BE,Failed,10017811,10018193,10017811.0,openb_pod_list_cpu0.csv
openb-pod-0083,3152,5600,1,810,,BE,Failed,10018219,10018320,10018284.0,openb_pod_list_cpu0.csv
openb-pod-0084,11908,47104,1,1000,,BE,Pending,10018225,10018268,,openb_pod_list_cpu0.csv
openb-pod-0085,3152,5600,1,810,,BE,Failed,10018378,10018530,10018379.0,openb_pod_list_cpu0.csv
openb-pod-0086,8000,30517,1,470,,BE,Running,10018598,10018814,10018599.0,openb_pod_list_cpu0.csv
openb-pod-0087,3152,5600,1,1000,,BE,Failed,10018784,10019004,10018784.0,openb_pod_list_cpu0.csv
openb-pod-0088,18708,64512,1,1000,,LS,Running,10019718,10019822,10019753.0,openb_pod_list_cpu0.csv
openb-pod-0089,4152,10600,1,810,,BE,Failed,10019860,10024488,10019861.0,openb_pod_list_cpu0.csv
